context_genre,exploration_level,baseline_audio_similarity,enhanced_audio_similarity,baseline_genre_diversity,enhanced_genre_diversity,baseline_artist_diversity,enhanced_artist_diversity,baseline_mean_popularity,enhanced_mean_popularity,baseline_runtime_ms,enhanced_runtime_ms
acoustic,0.0,0.5745763661084382,0.9233308378939927,0.1,0.1,0.6666666666666666,0.8444444444444444,60.8,56.9,264.70269999936136,313.47099999948114
acoustic,0.5,0.4388945440536432,0.9507391802702045,0.9,1.0,1.0,1.0,95.7,74.4,254.8363000005338,274.3414999995366
acoustic,1.0,0.4357827884826774,0.9484873804644293,1.0,1.0,1.0,1.0,94.9,75.9,286.7452999998932,272.6361999993969
rock,0.0,0.6876545631610063,0.8735837931171337,0.1,0.1,0.0,0.8666666666666667,82.9,77.5,239.77279999962775,270.3273999995872
rock,0.5,0.6742568893734753,0.9413134284191722,0.9,1.0,1.0,1.0,95.7,82.7,249.86150000040652,259.2697000000044
rock,1.0,0.6501919883638057,0.9456815075129225,1.0,1.0,1.0,1.0,94.9,81.8,251.91889999950945,260.4879999998957
hip-hop,0.0,0.7180413387676937,0.9291162221180616,0.1,0.1,0.5111111111111111,0.8,78.5,73.0,237.74649999995745,260.6276999995316
hip-hop,0.5,0.6170560150501331,0.9610490510711379,0.9,0.8,1.0,1.0,95.7,79.5,232.22319999968022,273.7059000000954
hip-hop,1.0,0.6010348774419695,0.9608320101282886,1.0,1.0,1.0,1.0,94.0,79.5,229.85650000009628,265.38759999948525
classical,0.0,0.6253128132667533,0.8316712884191905,0.1,0.1,0.5333333333333333,0.6666666666666666,60.6,46.8,250.00730000010662,263.1824999998571
classical,0.5,0.5272116799937315,0.9239531019496126,0.9,1.0,1.0,1.0,95.7,67.9,243.9289000003555,251.4152000003378
classical,1.0,0.5225287306522214,0.9239531019496126,1.0,1.0,1.0,1.0,94.9,67.9,254.79699999959848,268.5986000005869
country,0.0,0.7437246593532543,0.8889384344645942,0.1,0.1,0.5111111111111111,0.9333333333333333,71.4,69.7,242.40609999924345,285.14999999970314
country,0.5,0.6790049897231798,0.9506335759637219,0.9,0.8,1.0,1.0,95.7,75.7,236.02429999937158,258.67289999951026
country,1.0,0.6728399546291525,0.9579094461422519,1.0,1.0,1.0,1.0,94.9,73.1,221.87880000001314,256.6581999999471
electronic,0.0,0.6777468252841351,0.9081196346170474,0.1,0.1,0.0,0.9333333333333333,58.8,51.6,300.76030000054743,297.76660000061383
electronic,0.5,0.5788580903360658,0.9634514106664822,0.9,1.0,1.0,1.0,95.7,80.0,289.3757000001642,285.8165999996345
electronic,1.0,0.5788391876702798,0.9621838050707915,1.0,1.0,1.0,1.0,94.9,82.4,231.04109999985667,289.1364999995858
