scenario,preference_strength,preferred_genres,preferred_artists,genre_hit_rate,artist_hit_rate,combined_hit_rate,audio_similarity,genre_diversity,artist_diversity,mean_popularity
Acoustic context -> Rock + Bryan Adams preference,0.0,rock,Bryan Adams,0.0,0.0,0.0,0.9366475059661763,0.1,1.0,57.4
Acoustic context -> Rock + Bryan Adams preference,0.25,rock,Bryan Adams,0.0,0.0,0.0,0.9366475059661763,0.1,1.0,57.4
Acoustic context -> Rock + Bryan Adams preference,0.5,rock,Bryan Adams,0.1,0.0,0.0,0.9406729043769625,0.2,1.0,58.9
Acoustic context -> Rock + Bryan Adams preference,0.75,rock,Bryan Adams,0.2,0.0,0.0,0.9375172655073951,0.2,1.0,60.9
Acoustic context -> Rock + Bryan Adams preference,1.0,rock,Bryan Adams,0.8,0.1,0.1,0.8571003386294912,0.2,1.0,74.2
Rock context -> Electronic + Miranda! preference,0.0,electronic,Miranda!,0.0,0.0,0.0,0.8939978700970507,0.2,1.0,79.1
Rock context -> Electronic + Miranda! preference,0.25,electronic,Miranda!,0.0,0.0,0.0,0.8939978700970505,0.2,1.0,79.1
Rock context -> Electronic + Miranda! preference,0.5,electronic,Miranda!,0.1,0.1,0.1,0.9015195290245159,0.3,1.0,75.3
Rock context -> Electronic + Miranda! preference,0.75,electronic,Miranda!,0.7,0.2,0.2,0.9315763063545726,0.2,0.9777777777777777,59.9
Rock context -> Electronic + Miranda! preference,1.0,electronic,Miranda!,1.0,0.7,0.7,0.9243651995222024,0.1,0.5333333333333333,45.8
Hip-hop context -> Country + Kacey Musgraves preference,0.0,country,Kacey Musgraves,0.0,0.0,0.0,0.9414023681864883,0.1,0.9777777777777777,72.4
Hip-hop context -> Country + Kacey Musgraves preference,0.25,country,Kacey Musgraves,0.0,0.0,0.0,0.9430061263299538,0.1,0.9777777777777777,73.6
Hip-hop context -> Country + Kacey Musgraves preference,0.5,country,Kacey Musgraves,0.1,0.0,0.0,0.9446791294152648,0.2,0.9777777777777777,73.7
Hip-hop context -> Country + Kacey Musgraves preference,0.75,country,Kacey Musgraves,0.2,0.0,0.0,0.9421170852479278,0.2,0.9777777777777777,74.8
Hip-hop context -> Country + Kacey Musgraves preference,1.0,country,Kacey Musgraves,0.8,0.1,0.1,0.9050050751200732,0.2,1.0,69.4
